124: 72 26 | 58 91
76: 72 90 | 58 73
89: 58 135 | 72 25
43: 58 30 | 72 98
130: 58 58
87: 135 72 | 100 58
24: 72 5 | 58 78
61: 84 72 | 71 58
8: 42 | 42 8
68: 49 72 | 91 58
103: 126 58 | 124 72
132: 58 17 | 72 37
75: 72 89 | 58 50
99: 72 72 | 58 58
28: 58 19 | 72 65
2: 9 72 | 67 58
113: 58 100 | 72 130
66: 129 58 | 70 72
74: 72 116 | 58 56
45: 72 82 | 58 38
70: 137 58 | 12 72
78: 72 58 | 58 58
115: 78 58 | 27 72
48: 58 121 | 72 95
23: 120 58 | 93 72
44: 58 25 | 72 130
17: 58 27 | 72 91
65: 102 72 | 46 58
19: 72 84 | 58 35
79: 29 72 | 127 58
13: 58 88 | 72 136
6: 15 72 | 130 58
81: 58 72
100: 117 72 | 58 58
116: 78 72 | 49 58
136: 20 72 | 50 58
97: 53 72 | 85 58
107: 58 27 | 72 5
0: 8 11
49: 58 72 | 72 117
88: 105 58 | 21 72
83: 69 72 | 5 58
112: 58 32 | 72 2
47: 62 72 | 118 58
59: 58 134 | 72 101
60: 132 72 | 103 58
55: 58 44 | 72 92
67: 72 15 | 58 100
96: 81 72 | 135 58
121: 25 58 | 26 72
39: 58 81 | 72 25
82: 81 58
27: 72 72 | 117 58
85: 58 119 | 72 68
53: 72 39 | 58 80
91: 72 58 | 72 72
129: 58 133 | 72 3
18: 58 69 | 72 25
120: 110 58 | 36 72
114: 58 87 | 72 16
34: 72 40 | 58 45
29: 58 123 | 72 59
36: 15 117
133: 58 107 | 72 113
109: 58 58 | 58 72
46: 100 117
41: 109 58 | 91 72
26: 72 72 | 58 72
21: 58 78 | 72 130
117: 58 | 72
111: 58 5 | 72 81
95: 58 27 | 72 109
4: 97 72 | 28 58
135: 58 117 | 72 58
37: 58 27
1: 58 99 | 72 25
52: 130 58 | 109 72
106: 5 72 | 99 58
12: 111 58 | 68 72
42: 94 58 | 79 72
11: 42 31 | 42 11 31
77: 125 72 | 86 58
98: 58 91 | 72 109
62: 58 122 | 72 52
119: 109 72 | 135 58
108: 15 72 | 25 58
10: 78 58 | 15 72
5: 72 58
3: 72 33 | 58 37
57: 58 51 | 72 7
7: 72 43 | 58 74
38: 58 91 | 72 15
20: 26 58 | 130 72
22: 58 99 | 72 15
105: 15 72 | 99 58
25: 72 72
35: 72 99 | 58 91
56: 78 72 | 99 58
63: 114 72 | 55 58
86: 23 72 | 13 58
54: 47 58 | 112 72
50: 72 5 | 58 99
126: 58 81 | 72 26
127: 63 72 | 60 58
9: 72 27 | 58 15
137: 10 58 | 96 72
15: 117 117
128: 66 58 | 57 72
14: 18 72 | 116 58
92: 58 25 | 72 100
40: 83 58 | 131 72
31: 77 58 | 128 72
69: 58 72 | 72 58
125: 34 58 | 76 72
110: 117 99
94: 72 4 | 58 54
102: 72 25 | 58 109
30: 58 91 | 72 5
84: 99 117
93: 50 72 | 6 58
80: 72 100 | 58 91
64: 58 5 | 72 130
51: 58 61 | 72 48
122: 5 58 | 25 72
16: 58 130 | 72 78
90: 22 58 | 106 72
131: 58 91 | 72 130
123: 14 72 | 75 58
33: 58 15 | 72 26
71: 27 72 | 69 58
73: 104 58 | 24 72
32: 72 126 | 58 41
134: 72 1 | 58 35
101: 72 84 | 58 115
104: 130 58
118: 64 58 | 108 72
